id,name,parent_id,created_at
1,Pasta,,2025-10-01 08:00:00
2,All Day Breakfast,,2025-10-01 08:00:00
3,Ala Carte,,2025-10-01 08:00:00
4,Pizza,,2025-10-01 08:00:00
5,Extras,,2025-10-01 08:00:00
6,Drinks,,2025-10-01 08:00:00
7,Coffee,6,2025-10-01 08:00:00
8,Non-Coffee,6,2025-10-01 08:00:00
9,Lemonade,6,2025-10-01 08:00:00
10,Ice-Blended,6,2025-10-01 08:00:00
11,Coffee Based,10,2025-10-01 08:00:00
12,Non-Coffee Based,10,2025-10-01 08:00:00
13,Crepes,,2025-10-01 08:00:00
14,Waffles,,2025-10-01 08:00:00
