id,order_id,product_variant_id,quantity,price,notes,created_at
1,501,1,1,220.0,,2025-10-12 12:15:00
2,502,10,1,225.0,Sunny side egg requested,2025-10-12 13:20:00
3,502,25,1,30.0,,2025-10-12 13:20:00
4,502,31,1,110.0,Less ice,2025-10-12 13:20:00
5,502,26,1,25.0,,2025-10-12 13:20:00
6,503,13,1,320.0,Salted Egg flavor,2025-10-13 09:10:00
7,503,24,1,20.0,,2025-10-13 09:10:00
8,503,26,1,25.0,,2025-10-13 09:10:00
9,518,10,1,225.0,,2025-11-09 08:45:00
10,601,4,1,920.0,Family tray for sharing,2025-12-23 18:20:00
11,601,35,1,135.0,No sugar,2025-12-23 18:20:00
12,602,21,1,300.0,Spicy,2025-12-24 19:05:00
13,602,13,1,320.0,Garlic Parmesan,2025-12-24 19:05:00
14,602,26,1,25.0,,2025-12-24 19:05:00
15,710,37,2,160.0,"One less ice, one regular",2026-01-18 15:35:00
16,710,26,1,25.0,,2026-01-18 15:35:00
17,711,1,1,220.0,,2026-02-14 17:12:00
18,711,39,1,160.0,Extra shot,2026-02-14 17:12:00
19,711,24,1,20.0,,2026-02-14 17:12:00
20,712,7,1,470.0,,2026-03-22 16:50:00
21,712,42,1,175.0,Regular sugar,2026-03-22 16:50:00
22,712,26,1,25.0,,2026-03-22 16:50:00
