product_variant_id,raw_material_id,quantity_used,created_at,updated_at
1,1,120,2025-10-10 09:00:00,2026-01-10 10:00:00
1,8,70,2025-10-10 09:00:00,2026-01-10 10:00:00
1,9,45,2025-10-10 09:00:00,2026-01-10 10:00:00
1,3,50,2025-10-10 09:00:00,2026-01-10 10:00:00
1,5,15,2025-10-10 09:00:00,2026-01-10 10:00:00
2,1,450,2025-10-10 09:00:00,2026-01-10 10:00:00
2,8,240,2025-10-10 09:00:00,2026-01-10 10:00:00
2,9,160,2025-10-10 09:00:00,2026-01-10 10:00:00
2,3,180,2025-10-10 09:00:00,2026-01-10 10:00:00
2,5,50,2025-10-10 09:00:00,2026-01-10 10:00:00
3,1,120,2025-10-10 09:00:00,2026-01-10 10:00:00
3,10,90,2025-10-10 09:00:00,2026-01-10 10:00:00
3,3,60,2025-10-10 09:00:00,2026-01-10 10:00:00
3,11,20,2025-10-10 09:00:00,2026-01-10 10:00:00
3,5,15,2025-10-10 09:00:00,2026-01-10 10:00:00
4,1,460,2025-10-10 09:00:00,2026-01-10 10:00:00
4,10,320,2025-10-10 09:00:00,2026-01-10 10:00:00
4,3,220,2025-10-10 09:00:00,2026-01-10 10:00:00
4,11,70,2025-10-10 09:00:00,2026-01-10 10:00:00
4,5,55,2025-10-10 09:00:00,2026-01-10 10:00:00
5,1,120,2025-10-10 09:00:00,2026-01-10 10:00:00
5,12,90,2025-10-10 09:00:00,2026-01-10 10:00:00
5,13,65,2025-10-10 09:00:00,2026-01-10 10:00:00
6,1,460,2025-10-10 09:00:00,2026-01-10 10:00:00
6,12,280,2025-10-10 09:00:00,2026-01-10 10:00:00
6,13,210,2025-10-10 09:00:00,2026-01-10 10:00:00
7,2,120,2025-10-10 09:00:00,2026-01-10 10:00:00
7,14,120,2025-10-10 09:00:00,2026-01-10 10:00:00
7,13,80,2025-10-10 09:00:00,2026-01-10 10:00:00
7,15,80,2025-10-10 09:00:00,2026-01-10 10:00:00
7,6,50,2025-10-10 09:00:00,2026-01-10 10:00:00
7,7,40,2025-10-10 09:00:00,2026-01-10 10:00:00
8,2,420,2025-10-10 09:00:00,2026-01-10 10:00:00
8,14,420,2025-10-10 09:00:00,2026-01-10 10:00:00
8,13,260,2025-10-10 09:00:00,2026-01-10 10:00:00
8,15,250,2025-10-10 09:00:00,2026-01-10 10:00:00
8,6,160,2025-10-10 09:00:00,2026-01-10 10:00:00
8,7,120,2025-10-10 09:00:00,2026-01-10 10:00:00
9,18,130,2025-10-10 09:00:00,2026-01-10 10:00:00
9,16,180,2025-10-10 09:00:00,2026-01-10 10:00:00
9,17,1,2025-10-10 09:00:00,2026-01-10 10:00:00
10,19,140,2025-10-10 09:00:00,2026-01-10 10:00:00
10,16,180,2025-10-10 09:00:00,2026-01-10 10:00:00
10,17,1,2025-10-10 09:00:00,2026-01-10 10:00:00
11,20,130,2025-10-10 09:00:00,2026-01-10 10:00:00
11,16,180,2025-10-10 09:00:00,2026-01-10 10:00:00
11,17,1,2025-10-10 09:00:00,2026-01-10 10:00:00
12,21,1,2025-10-10 09:00:00,2026-01-10 10:00:00
12,16,180,2025-10-10 09:00:00,2026-01-10 10:00:00
12,17,1,2025-10-10 09:00:00,2026-01-10 10:00:00
13,22,8,2025-10-10 09:00:00,2026-01-10 10:00:00
14,14,80,2025-10-10 09:00:00,2026-01-10 10:00:00
14,27,2,2025-10-10 09:00:00,2026-01-10 10:00:00
15,28,80,2025-10-10 09:00:00,2026-01-10 10:00:00
15,27,2,2025-10-10 09:00:00,2026-01-10 10:00:00
16,29,80,2025-10-10 09:00:00,2026-01-10 10:00:00
16,7,30,2025-10-10 09:00:00,2026-01-10 10:00:00
17,29,80,2025-10-10 09:00:00,2026-01-10 10:00:00
17,14,50,2025-10-10 09:00:00,2026-01-10 10:00:00
17,7,30,2025-10-10 09:00:00,2026-01-10 10:00:00
18,30,180,2025-10-10 09:00:00,2026-01-10 10:00:00
19,31,1,2025-10-10 09:00:00,2026-01-10 10:00:00
19,13,50,2025-10-10 09:00:00,2026-01-10 10:00:00
19,6,80,2025-10-10 09:00:00,2026-01-10 10:00:00
20,31,1,2025-10-10 09:00:00,2026-01-10 10:00:00
20,6,70,2025-10-10 09:00:00,2026-01-10 10:00:00
20,7,40,2025-10-10 09:00:00,2026-01-10 10:00:00
20,5,20,2025-10-10 09:00:00,2026-01-10 10:00:00
21,31,1,2025-10-10 09:00:00,2026-01-10 10:00:00
21,13,45,2025-10-10 09:00:00,2026-01-10 10:00:00
21,6,70,2025-10-10 09:00:00,2026-01-10 10:00:00
21,32,45,2025-10-10 09:00:00,2026-01-10 10:00:00
22,31,1,2025-10-10 09:00:00,2026-01-10 10:00:00
22,13,45,2025-10-10 09:00:00,2026-01-10 10:00:00
22,6,70,2025-10-10 09:00:00,2026-01-10 10:00:00
22,32,45,2025-10-10 09:00:00,2026-01-10 10:00:00
23,31,1,2025-10-10 09:00:00,2026-01-10 10:00:00
23,19,110,2025-10-10 09:00:00,2026-01-10 10:00:00
23,9,40,2025-10-10 09:00:00,2026-01-10 10:00:00
23,6,70,2025-10-10 09:00:00,2026-01-10 10:00:00
24,17,1,2025-10-10 09:00:00,2026-01-10 10:00:00
25,16,180,2025-10-10 09:00:00,2026-01-10 10:00:00
26,55,1,2025-10-10 09:00:00,2026-01-10 10:00:00
30,33,18,2025-10-10 09:00:00,2026-01-10 10:00:00
31,33,18,2025-10-10 09:00:00,2026-01-10 10:00:00
34,33,18,2025-10-10 09:00:00,2026-01-10 10:00:00
