id,name,category_id,is_enabled,created_at,updated_at
1,Creamy Tuna Pesto,1,True,2025-10-05 09:00:00,2026-01-10 10:00:00
2,Chicken Carbonara,1,True,2025-10-05 09:00:00,2026-01-10 10:00:00
3,Spanish Sardines,1,True,2025-10-05 09:00:00,2026-01-10 10:00:00
4,Beef Lasagna,1,True,2025-10-05 09:00:00,2026-01-10 10:00:00
5,Pork Tocino,2,True,2025-10-06 08:00:00,2026-01-10 10:00:00
6,Beef Tapa,2,True,2025-10-06 08:00:00,2026-01-10 10:00:00
7,Crispy Naked Longganisa,2,True,2025-10-06 08:00:00,2026-01-10 10:00:00
8,Pan-Fried Baby Bangus,2,True,2025-10-06 08:00:00,2026-01-10 10:00:00
9,Chicken Wings 8 pcs,3,True,2025-10-06 08:10:00,2026-01-10 10:00:00
10,Soft tacos 2 pcs - Beef,3,True,2025-10-06 08:10:00,2026-01-10 10:00:00
11,Soft tacos 2 pcs - Shrimp,3,True,2025-10-06 08:10:00,2026-01-10 10:00:00
12,Cheese Nachos,3,True,2025-10-06 08:10:00,2026-01-10 10:00:00
13,Beef Nachos,3,True,2025-10-06 08:10:00,2026-01-10 10:00:00
14,French Fries,3,True,2025-10-06 08:10:00,2026-01-10 10:00:00
15,Margherita,4,True,2025-10-07 08:00:00,2026-01-10 10:00:00
16,Four Cheese,4,True,2025-10-07 08:00:00,2026-01-10 10:00:00
17,Pepperoni,4,True,2025-10-07 08:00:00,2026-01-10 10:00:00
18,Pesto Tapa,4,True,2025-10-07 08:00:00,2026-01-10 10:00:00
19,Egg,5,True,2025-10-07 09:00:00,2026-01-10 10:00:00
20,Rice,5,True,2025-10-07 09:00:00,2026-01-10 10:00:00
21,Bottled Water,5,True,2025-10-07 09:00:00,2026-01-10 10:00:00
22,Homemade Hot Sauce (150ml),5,True,2025-10-07 09:00:00,2026-01-10 10:00:00
23,Spicy Suka (150ml),5,True,2025-10-07 09:00:00,2026-01-10 10:00:00
24,Cubano (espresso shot),7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
25,Cafe Americano,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
26,Cappucino,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
27,Latte,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
28,Spanish Latte,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
29,Mocha,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
30,Cold Brew,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
31,Caramel Macchiato,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
32,Hazelnut Macchiato,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
33,Matcha Espresso Latte,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
34,Cold Foam Espresso,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
35,Taho Kape Latte,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
36,Blackadamia,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
37,Crème-Bru Latte,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
38,Biscoff Coffee Latte,7,True,2025-10-08 08:00:00,2026-01-10 10:00:00
39,Dark Chocolate,8,True,2025-10-08 08:20:00,2026-01-10 10:00:00
40,Matcha Latte,8,True,2025-10-08 08:20:00,2026-01-10 10:00:00
41,Houseblend Iced Tea,8,True,2025-10-08 08:20:00,2026-01-10 10:00:00
42,Thai Milktea,8,True,2025-10-08 08:20:00,2026-01-10 10:00:00
43,Strawberry Taho Latte,8,True,2025-10-08 08:20:00,2026-01-10 10:00:00
44,Mango Shake,8,True,2025-10-08 08:20:00,2026-01-10 10:00:00
45,Chai Tea Latte,8,True,2025-10-08 08:20:00,2026-01-10 10:00:00
46,Classic Lemon,9,True,2025-10-08 08:30:00,2026-01-10 10:00:00
47,Passion Fruit,9,True,2025-10-08 08:30:00,2026-01-10 10:00:00
48,Strawberiri,9,True,2025-10-08 08:30:00,2026-01-10 10:00:00
49,Mango Trail,9,True,2025-10-08 08:30:00,2026-01-10 10:00:00
50,Butterfly Pea (Violet Drink),9,True,2025-10-08 08:30:00,2026-01-10 10:00:00
51,Mocha Chip,11,True,2025-10-08 08:40:00,2026-01-10 10:00:00
52,White Caramel Mocha,11,True,2025-10-08 08:40:00,2026-01-10 10:00:00
53,Peppermint Mocha,11,True,2025-10-08 08:40:00,2026-01-10 10:00:00
54,Vanilla Bean Strawberry,12,True,2025-10-08 08:43:00,2026-01-10 10:00:00
55,Double Choco Chip,12,True,2025-10-08 08:43:00,2026-01-10 10:00:00
56,Oreo Cookie Crumble,12,True,2025-10-08 08:43:00,2026-01-10 10:00:00
57,Matcha Choco Drizzle,12,True,2025-10-08 08:43:00,2026-01-10 10:00:00
58,Peach Milk,12,True,2025-10-08 08:43:00,2026-01-10 10:00:00
59,Butter Sugar Crepe,13,True,2025-10-09 08:00:00,2026-01-10 10:00:00
60,Death by Chocolate Crepe,13,True,2025-10-09 08:00:00,2026-01-10 10:00:00
61,Strawberries & Cream Crepe,13,True,2025-10-09 08:00:00,2026-01-10 10:00:00
62,Monkey Madness Crepe,13,True,2025-10-09 08:00:00,2026-01-10 10:00:00
63,Mango Dream Crepe,13,True,2025-10-09 08:00:00,2026-01-10 10:00:00
64,Original Waffles,14,True,2025-10-09 08:10:00,2026-01-10 10:00:00
65,Strawberry Mallow Waffles,14,True,2025-10-09 08:10:00,2026-01-10 10:00:00
66,Choco Cream Waffles,14,True,2025-10-09 08:10:00,2026-01-10 10:00:00
67,Caramel Mocha Waffles,14,True,2025-10-09 08:10:00,2026-01-10 10:00:00
68,Nutty Mango Waffles,14,True,2025-10-09 08:10:00,2026-01-10 10:00:00
