id,name,unit_id,sku,created_at,updated_at
1,Spaghetti Pasta,1,RM-PASTA-SPAG,2025-10-01 08:00:00,2026-01-10 10:00:00
2,Lasagna Sheets,1,RM-PASTA-LAS,2025-10-01 08:01:00,2026-01-10 10:00:00
3,Cream,3,RM-DAIRY-CREAM,2025-10-01 08:02:00,2026-01-10 10:00:00
4,Fresh Milk,3,RM-DAIRY-MILK,2025-10-01 08:03:00,2026-01-10 10:00:00
5,Parmesan Cheese,1,RM-CHEESE-PARM,2025-10-01 08:04:00,2026-01-10 10:00:00
6,Mozzarella Cheese,1,RM-CHEESE-MOZZ,2025-10-01 08:05:00,2026-01-10 10:00:00
7,Cheddar Cheese,1,RM-CHEESE-CHED,2025-10-01 08:06:00,2026-01-10 10:00:00
8,Tuna Flakes,1,RM-TUNA-FLAKES,2025-10-01 08:07:00,2026-01-10 10:00:00
9,Pesto Sauce,1,RM-SAUCE-PESTO,2025-10-01 08:08:00,2026-01-10 10:00:00
10,Chicken Breast,1,RM-CHICKEN-BRST,2025-10-01 08:09:00,2026-01-10 10:00:00
11,Bacon,1,RM-BACON,2025-10-01 08:10:00,2026-01-10 10:00:00
12,Spanish Sardines,1,RM-SARDINES,2025-10-01 08:11:00,2026-01-10 10:00:00
13,Tomato Sauce,1,RM-SAUCE-TOMATO,2025-10-01 08:12:00,2026-01-10 10:00:00
14,Ground Beef,1,RM-BEEF-GROUND,2025-10-01 08:13:00,2026-01-10 10:00:00
15,Bechamel Sauce,1,RM-SAUCE-BECH,2025-10-01 08:14:00,2026-01-10 10:00:00
16,Rice,1,RM-RICE,2025-10-01 08:15:00,2026-01-10 10:00:00
17,Egg,5,RM-EGG,2025-10-01 08:16:00,2026-01-10 10:00:00
18,Pork Tocino,1,RM-TOCINO,2025-10-01 08:17:00,2026-01-10 10:00:00
19,Beef Tapa,1,RM-TAPA,2025-10-01 08:18:00,2026-01-10 10:00:00
20,Longganisa,1,RM-LONGGA,2025-10-01 08:19:00,2026-01-10 10:00:00
21,Baby Bangus,5,RM-BANGUS,2025-10-01 08:20:00,2026-01-10 10:00:00
22,Chicken Wings,5,RM-WINGS,2025-10-01 08:21:00,2026-01-10 10:00:00
23,Salted Egg Sauce,1,RM-SAUCE-SALTEDEGG,2025-10-01 08:22:00,2026-01-10 10:00:00
24,Garlic Parmesan Sauce,1,RM-SAUCE-GARPARM,2025-10-01 08:23:00,2026-01-10 10:00:00
25,KBBQ Sauce,1,RM-SAUCE-KBBQ,2025-10-01 08:24:00,2026-01-10 10:00:00
26,Siracha Sauce,1,RM-SAUCE-SIRACHA,2025-10-01 08:25:00,2026-01-10 10:00:00
27,Tortilla,5,RM-TORTILLA,2025-10-01 08:26:00,2026-01-10 10:00:00
28,Shrimp,1,RM-SHRIMP,2025-10-01 08:27:00,2026-01-10 10:00:00
29,Nacho Chips,1,RM-NACHOS,2025-10-01 08:28:00,2026-01-10 10:00:00
30,Potatoes,1,RM-POTATO,2025-10-01 08:29:00,2026-01-10 10:00:00
31,Pizza Dough,5,RM-PIZZA-DOUGH,2025-10-01 08:30:00,2026-01-10 10:00:00
32,Pepperoni,1,RM-PEPPERONI,2025-10-01 08:31:00,2026-01-10 10:00:00
33,Coffee Beans,1,RM-COFFEE-BEANS,2025-10-01 08:32:00,2026-01-10 10:00:00
34,Matcha Powder,1,RM-MATCHA,2025-10-01 08:33:00,2026-01-10 10:00:00
35,Chocolate Powder,1,RM-CHOC,2025-10-01 08:34:00,2026-01-10 10:00:00
36,Caramel Syrup,3,RM-SYRUP-CARAMEL,2025-10-01 08:35:00,2026-01-10 10:00:00
37,Hazelnut Syrup,3,RM-SYRUP-HAZELNUT,2025-10-01 08:36:00,2026-01-10 10:00:00
38,Condensed Milk,3,RM-CONDENSED,2025-10-01 08:37:00,2026-01-10 10:00:00
39,Brown Sugar Syrup,3,RM-BSUGAR,2025-10-01 08:38:00,2026-01-10 10:00:00
40,Cold Brew Concentrate,3,RM-CBREW,2025-10-01 08:39:00,2026-01-10 10:00:00
41,Lemon Syrup,3,RM-LEMON,2025-10-01 08:40:00,2026-01-10 10:00:00
42,Passion Fruit Syrup,3,RM-PFRUIT,2025-10-01 08:41:00,2026-01-10 10:00:00
43,Strawberry Syrup,3,RM-STRAW-SYRUP,2025-10-01 08:42:00,2026-01-10 10:00:00
44,Mango Syrup,3,RM-MANGO-SYRUP,2025-10-01 08:43:00,2026-01-10 10:00:00
45,Butterfly Pea Tea,3,RM-BPEA,2025-10-01 08:44:00,2026-01-10 10:00:00
46,Crepe Batter,1,RM-CREPE-BATTER,2025-10-01 08:45:00,2026-01-10 10:00:00
47,Waffle Batter,1,RM-WAFFLE-BATTER,2025-10-01 08:46:00,2026-01-10 10:00:00
48,Whipped Cream,1,RM-WHIPPED,2025-10-01 08:47:00,2026-01-10 10:00:00
49,Banana,5,RM-BANANA,2025-10-01 08:48:00,2026-01-10 10:00:00
50,Mango,5,RM-MANGO,2025-10-01 08:49:00,2026-01-10 10:00:00
51,Strawberries,1,RM-STRAWBERRY,2025-10-01 08:50:00,2026-01-10 10:00:00
52,Marshmallows,1,RM-MARSH,2025-10-01 08:51:00,2026-01-10 10:00:00
53,Biscoff Spread,1,RM-BISCOFF,2025-10-01 08:52:00,2026-01-10 10:00:00
54,Oreo Crumbs,1,RM-OREO,2025-10-01 08:53:00,2026-01-10 10:00:00
55,Bottled Water,7,RM-WATER,2025-10-01 08:54:00,2026-01-10 10:00:00
