id,raw_material_id,supplier_id,quantity,remaining_quantity,cost_per_unit,expiration_date,received_at,created_at,updated_at
1,1,4,10000,6200,0.085,2026-04-30,2025-10-10 07:00:00,2025-10-10 07:00:00,2026-03-25 21:00:00
2,3,1,5000,0,0.16,2025-11-20,2025-10-10 07:10:00,2025-10-10 07:10:00,2025-11-19 20:30:00
3,4,1,20000,0,0.062,2025-11-10,2025-10-10 07:15:00,2025-10-10 07:15:00,2025-11-10 19:00:00
4,5,1,2000,720,0.75,2026-03-31,2025-10-10 07:20:00,2025-10-10 07:20:00,2026-03-20 20:45:00
5,10,2,5000,0,0.22,2025-10-18,2025-10-10 08:10:00,2025-10-10 08:10:00,2025-10-18 18:40:00
6,14,2,5000,0,0.32,2025-10-18,2025-10-10 08:20:00,2025-10-10 08:20:00,2025-10-18 18:40:00
7,16,4,25000,11800,0.055,2026-06-30,2025-10-10 08:30:00,2025-10-10 08:30:00,2026-03-28 20:40:00
8,17,2,360,0,8.5,2025-10-25,2025-10-10 08:35:00,2025-10-10 08:35:00,2025-10-25 18:30:00
9,22,2,300,0,24.0,2025-10-20,2025-10-10 08:40:00,2025-10-10 08:40:00,2025-10-20 19:15:00
10,33,3,5000,1600,1.1,2026-05-30,2025-10-10 08:45:00,2025-10-10 08:45:00,2026-03-28 21:15:00
11,10,2,4000,0,0.235,2025-11-15,2025-11-08 07:30:00,2025-11-08 07:30:00,2025-11-15 18:00:00
12,14,2,3500,0,0.34,2025-11-15,2025-11-08 07:35:00,2025-11-08 07:35:00,2025-11-15 18:00:00
13,18,2,3000,960,0.21,2025-11-14,2025-11-08 07:40:00,2025-11-08 07:40:00,2025-11-14 18:00:00
14,19,2,3500,1100,0.295,2025-11-14,2025-11-08 07:45:00,2025-11-08 07:45:00,2025-11-14 18:00:00
15,33,3,3000,600,1.15,2026-06-15,2025-12-02 08:15:00,2025-12-02 08:15:00,2026-03-28 21:15:00
16,4,1,18000,2400,0.068,2025-12-12,2025-12-02 08:20:00,2025-12-02 08:20:00,2025-12-12 20:00:00
17,3,1,4000,450,0.175,2025-12-08,2025-12-02 08:22:00,2025-12-02 08:22:00,2025-12-08 20:00:00
18,35,1,2000,1140,0.24,2026-08-31,2025-12-02 08:25:00,2025-12-02 08:25:00,2026-03-28 20:30:00
