id,raw_material_id,batch_id,quantity_change,reason,reference_id,notes,created_at
1,1,1,10000,STOCK_RUN,stock_run:1,Initial opening stock,2025-10-10 07:00:00
2,3,2,5000,STOCK_RUN,stock_run:1,Initial opening stock,2025-10-10 07:10:00
3,4,3,20000,STOCK_RUN,stock_run:1,Initial opening stock,2025-10-10 07:15:00
4,5,4,2000,STOCK_RUN,stock_run:1,Initial opening stock,2025-10-10 07:20:00
1001,1,1,-120,SALE,order:501,Creamy Tuna Pesto Solo,2025-10-12 12:15:00
1002,8,,-70,SALE,order:501,Creamy Tuna Pesto Solo,2025-10-12 12:15:00
1003,9,,-45,SALE,order:501,Creamy Tuna Pesto Solo,2025-10-12 12:15:00
1004,3,2,-50,SALE,order:501,Creamy Tuna Pesto Solo,2025-10-12 12:15:00
1005,5,4,-15,SALE,order:501,Creamy Tuna Pesto Solo,2025-10-12 12:15:00
1010,19,14,-140,SALE,order:518,Beef Tapa,2025-11-09 08:45:00
1011,16,7,-180,SALE,order:518,Beef Tapa,2025-11-09 08:45:00
1012,17,8,-1,SALE,order:518,Beef Tapa,2025-11-09 08:45:00
1100,4,3,-1200,WASTE,waste:12,Milk expired before full use,2025-11-10 18:45:00
1101,10,5,-300,WASTE,waste:13,Chicken trim + expired stock,2025-10-18 18:45:00
1200,33,10,-80,ADJUSTMENT,audit:4,Inventory count discrepancy after December audit,2025-12-28 21:10:00
