stock_run_id,raw_material_id,quantity,cost_per_unit,expiration_date
1,1,10000,0.085,2026-04-30
1,3,5000,0.16,2025-11-20
1,4,20000,0.062,2025-11-10
1,5,2000,0.75,2026-03-31
1,6,3000,0.52,2026-01-15
1,8,4000,0.21,2026-02-15
1,10,5000,0.22,2025-10-18
1,14,5000,0.32,2025-10-18
1,16,25000,0.055,2026-06-30
1,17,360,8.5,2025-10-25
1,22,300,24.0,2025-10-20
1,33,5000,1.1,2026-05-30
2,10,4000,0.235,2025-11-15
2,14,3500,0.34,2025-11-15
2,18,3000,0.21,2025-11-14
2,19,3500,0.295,2025-11-14
2,21,40,75.0,2025-11-12
2,28,2000,0.42,2025-11-12
2,49,80,7.0,2025-11-10
2,50,100,9.5,2025-11-10
3,33,3000,1.15,2026-06-15
3,4,18000,0.068,2025-12-12
3,3,4000,0.175,2025-12-08
3,35,2000,0.24,2026-08-31
3,34,1500,0.55,2026-08-31
3,36,2500,0.19,2026-09-30
3,37,2500,0.195,2026-09-30
3,38,3000,0.12,2026-05-31
4,1,8000,0.09,2026-05-31
4,10,5000,0.25,2025-12-24
4,14,5000,0.355,2025-12-24
4,22,400,25.0,2025-12-23
4,33,4000,1.18,2026-07-30
4,4,20000,0.07,2025-12-27
4,17,480,8.9,2025-12-28
4,29,3000,0.16,2026-03-31
