Product,CurrentStock,LeadTime,SafetyStock
Baby Bangus,45,3,20
Bacon,32,4,18
Banana,55,3,22
Bechamel Sauce,18,5,20
Beef Tapa,25,4,18
Biscoff Spread,80,2,15
Bottled Water,38,3,16
Brown Sugar Syrup,27,4,18
Butterfly Pea Tea,22,5,20
Caramel Syrup,31,4,18
Cheddar Cheese,44,3,20
Chicken Breast,60,2,15
Chicken Wings,75,2,18
Chocolate Powder,40,3,20
Coffee Beans,28,4,18
Cold Brew Concentrate,35,5,18
Condensed Milk,50,3,20
Cream,41,3,18
Crepe Batter,20,5,20
Egg,15,5,22
Fresh Milk,30,3,15
Garlic Parmesan Sauce,24,4,15
Ground Beef,18,5,12
Hazelnut Syrup,22,4,10
KBBQ Sauce,16,4,10
Lasagna Sheets,40,2,12
Lemon Syrup,26,3,12
Longganisa,35,3,15
Mango,18,4,15
Mango Syrup,28,3,15
Marshmallows,21,3,12
Matcha Powder,120,1,30
Mozzarella Cheese,95,2,25
Nacho Chips,45,3,18
Oreo Crumbs,36,3,15
Parmesan Cheese,33,3,18
Passion Fruit Syrup,45,3,20
Pepperoni,32,4,18
Pesto Sauce,55,3,22
Pizza Dough,18,5,20
Pork Tocino,25,4,18
Potatoes,80,2,15
Rice,38,3,16
Salted Egg Sauce,27,4,18
Shrimp,22,5,20
Siracha Sauce,31,4,18
Spaghetti Pasta,44,3,20
Spanish Sardines,60,2,15
Strawberries,75,2,18
Strawberry Syrup,40,3,20
Tomato Sauce,28,4,18
Tortilla,35,5,18
Tuna Flakes,50,3,20
Waffle Batter,41,3,18
Whipped Cream,20,5,20
