Product,Unit,Forecast7Days,DailyDemand,MAE,RMSE,MAPE,SMAPE,CurrentStock,LeadTime,SafetyStock,HasInventoryData,LeadTimeDemand,ReorderPoint,DaysRemaining,StockoutDay,RecommendedPurchase,BuyOnNextRun,ProjectedRemaining,Priority,Recommendation
Mozzarella Cheese,g,9830.75,1404.39,369.77,469.49,31.4,26.27,95,2,25,True,2808.78,2833.78,0.1,1.0,9761,Yes,25.25,Critical,Restock 9761 g on the next stock run; current stock reaches zero by forecast day 1.
Cheddar Cheese,g,6380.21,911.46,160.88,219.13,22.02,24.43,44,3,20,True,2734.38,2754.38,0.0,1.0,6357,Yes,20.79,Critical,Restock 6357 g on the next stock run; current stock reaches zero by forecast day 1.
Whipped Cream,g,4180.79,597.26,65.62,86.39,9.64,10.02,20,5,20,True,2986.3,3006.3,0.0,1.0,4181,Yes,20.21,Critical,Restock 4181 g on the next stock run; current stock reaches zero by forecast day 1.
Lemon Syrup,ml,2903.89,414.84,133.62,167.21,40.55,31.5,26,3,12,True,1244.52,1256.52,0.1,1.0,2890,Yes,12.11,Critical,Restock 2890 ml on the next stock run; current stock reaches zero by forecast day 1.
Strawberry Syrup,ml,2803.39,400.48,101.43,128.59,43.82,41.57,40,3,20,True,1201.44,1221.44,0.1,1.0,2784,Yes,20.61,Critical,Restock 2784 ml on the next stock run; current stock reaches zero by forecast day 1.
Chocolate Powder,g,2210.46,315.78,86.22,110.78,29.95,26.91,40,3,20,True,947.34,967.34,0.1,1.0,2191,Yes,20.54,Critical,Restock 2191 g on the next stock run; current stock reaches zero by forecast day 1.
Garlic Parmesan Sauce,ml,2026.62,289.52,80.08,97.18,56.83,28.57,24,4,15,True,1158.08,1173.08,0.1,1.0,2018,Yes,15.38,Critical,Restock 2018 ml on the next stock run; current stock reaches zero by forecast day 1.
Oreo Crumbs,g,1976.25,282.32,106.38,132.44,39.07,32.76,36,3,15,True,846.96,861.96,0.1,1.0,1956,Yes,15.75,Critical,Restock 1956 g on the next stock run; current stock reaches zero by forecast day 1.
Pepperoni,g,1928.31,275.47,132.81,146.2,51.57,47.89,32,4,18,True,1101.88,1119.88,0.1,1.0,1915,Yes,18.69,Critical,Restock 1915 g on the next stock run; current stock reaches zero by forecast day 1.
Salted Egg Sauce,ml,1843.24,263.32,140.51,174.52,50.97,44.07,27,4,18,True,1053.28,1071.28,0.1,1.0,1835,Yes,18.76,Critical,Restock 1835 ml on the next stock run; current stock reaches zero by forecast day 1.
Siracha Sauce,ml,1738.37,248.34,90.16,110.54,29.2,29.53,31,4,18,True,993.36,1011.36,0.1,1.0,1726,Yes,18.63,Critical,Restock 1726 ml on the next stock run; current stock reaches zero by forecast day 1.
Caramel Syrup,ml,1719.34,245.62,79.67,93.17,33.13,30.43,31,4,18,True,982.48,1000.48,0.1,1.0,1707,Yes,18.66,Critical,Restock 1707 ml on the next stock run; current stock reaches zero by forecast day 1.
KBBQ Sauce,ml,1678.46,239.78,110.62,127.08,82.3,45.65,16,4,10,True,959.12,969.12,0.1,1.0,1673,Yes,10.54,Critical,Restock 1673 ml on the next stock run; current stock reaches zero by forecast day 1.
Mango Syrup,ml,1562.3999999999999,223.2,106.01,122.44,54.43,61.74,28,3,15,True,669.6,684.6,0.1,1.0,1550,Yes,15.6,Critical,Restock 1550 ml on the next stock run; current stock reaches zero by forecast day 1.
Strawberries,g,1566.82,223.83,70.08,97.68,23.16,32.34,75,2,18,True,447.66,465.66,0.3,1.0,1510,Yes,18.18,Critical,Restock 1510 g on the next stock run; current stock reaches zero by forecast day 1.
Passion Fruit Syrup,ml,1525.7,217.96,85.16,103.64,34.35,33.13,45,3,20,True,653.88,673.88,0.2,1.0,1501,Yes,20.3,Critical,Restock 1501 ml on the next stock run; current stock reaches zero by forecast day 1.
Parmesan Cheese,g,1487.87,212.55,63.86,70.53,29.83,27.51,33,3,18,True,637.65,655.65,0.2,1.0,1473,Yes,18.13,Critical,Restock 1473 g on the next stock run; current stock reaches zero by forecast day 1.
Condensed Milk,ml,1305.7,186.53,57.89,67.32,60.52,49.87,50,3,20,True,559.59,579.59,0.3,1.0,1276,Yes,20.3,Critical,Restock 1276 ml on the next stock run; current stock reaches zero by forecast day 1.
Hazelnut Syrup,ml,1240.79,177.26,56.16,66.01,42.95,32.76,22,4,10,True,709.04,719.04,0.1,1.0,1229,Yes,10.21,Critical,Restock 1229 ml on the next stock run; current stock reaches zero by forecast day 1.
Matcha Powder,g,1008.43,144.06,43.52,50.33,58.85,50.23,120,1,30,True,144.06,174.06,0.8,1.0,919,Yes,30.57,Critical,Restock 919 g on the next stock run; current stock reaches zero by forecast day 1.
Brown Sugar Syrup,ml,922.1600000000001,131.74,47.33,59.59,39.22,32.67,27,4,18,True,526.96,544.96,0.2,1.0,914,Yes,18.84,Critical,Restock 914 ml on the next stock run; current stock reaches zero by forecast day 1.
Marshmallows,g,900.19,128.6,42.53,50.79,44.3,55.5,21,3,12,True,385.8,397.8,0.2,1.0,892,Yes,12.81,Critical,Restock 892 g on the next stock run; current stock reaches zero by forecast day 1.
Biscoff Spread,g,914.65,130.66,56.23,72.92,38.96,43.56,80,2,15,True,261.32,276.32,0.6,1.0,850,Yes,15.35,Critical,Restock 850 g on the next stock run; current stock reaches zero by forecast day 1.
Egg,pcs,243.23000000000002,34.75,6.26,7.14,16.17,16.75,15,5,22,True,173.75,195.75,0.4,1.0,251,Yes,22.77,Critical,Restock 251 pcs on the next stock run; current stock reaches zero by forecast day 1.
Pizza Dough,pcs,77.08,11.01,3.54,4.94,36.01,42.42,18,5,20,True,55.05,75.05,1.6,2.0,80,Yes,20.92,Critical,Restock 80 pcs on the next stock run; current stock reaches zero by forecast day 2.
