RawMaterialRank,Product,Unit,RestockQuantity,CurrentStock,Forecast7Days,SafetyStock,DaysRemaining,StockoutDay,HasInventoryData,BuyOnNextRun,Priority,RestockExplanation
1,Mozzarella Cheese,g,9761,95,9830.75,25,0.1,1.0,True,Yes,Critical,Restock 9761 g on the next stock run; current stock reaches zero by forecast day 1.
2,Cheddar Cheese,g,6357,44,6380.21,20,0.0,1.0,True,Yes,Critical,Restock 6357 g on the next stock run; current stock reaches zero by forecast day 1.
3,Whipped Cream,g,4181,20,4180.79,20,0.0,1.0,True,Yes,Critical,Restock 4181 g on the next stock run; current stock reaches zero by forecast day 1.
4,Lemon Syrup,ml,2890,26,2903.89,12,0.1,1.0,True,Yes,Critical,Restock 2890 ml on the next stock run; current stock reaches zero by forecast day 1.
5,Strawberry Syrup,ml,2784,40,2803.39,20,0.1,1.0,True,Yes,Critical,Restock 2784 ml on the next stock run; current stock reaches zero by forecast day 1.
6,Chocolate Powder,g,2191,40,2210.46,20,0.1,1.0,True,Yes,Critical,Restock 2191 g on the next stock run; current stock reaches zero by forecast day 1.
7,Garlic Parmesan Sauce,ml,2018,24,2026.62,15,0.1,1.0,True,Yes,Critical,Restock 2018 ml on the next stock run; current stock reaches zero by forecast day 1.
8,Oreo Crumbs,g,1956,36,1976.25,15,0.1,1.0,True,Yes,Critical,Restock 1956 g on the next stock run; current stock reaches zero by forecast day 1.
9,Pepperoni,g,1915,32,1928.31,18,0.1,1.0,True,Yes,Critical,Restock 1915 g on the next stock run; current stock reaches zero by forecast day 1.
10,Salted Egg Sauce,ml,1835,27,1843.24,18,0.1,1.0,True,Yes,Critical,Restock 1835 ml on the next stock run; current stock reaches zero by forecast day 1.
11,Siracha Sauce,ml,1726,31,1738.37,18,0.1,1.0,True,Yes,Critical,Restock 1726 ml on the next stock run; current stock reaches zero by forecast day 1.
12,Caramel Syrup,ml,1707,31,1719.34,18,0.1,1.0,True,Yes,Critical,Restock 1707 ml on the next stock run; current stock reaches zero by forecast day 1.
13,KBBQ Sauce,ml,1673,16,1678.46,10,0.1,1.0,True,Yes,Critical,Restock 1673 ml on the next stock run; current stock reaches zero by forecast day 1.
14,Mango Syrup,ml,1550,28,1562.3999999999999,15,0.1,1.0,True,Yes,Critical,Restock 1550 ml on the next stock run; current stock reaches zero by forecast day 1.
15,Strawberries,g,1510,75,1566.82,18,0.3,1.0,True,Yes,Critical,Restock 1510 g on the next stock run; current stock reaches zero by forecast day 1.
16,Passion Fruit Syrup,ml,1501,45,1525.7,20,0.2,1.0,True,Yes,Critical,Restock 1501 ml on the next stock run; current stock reaches zero by forecast day 1.
17,Parmesan Cheese,g,1473,33,1487.87,18,0.2,1.0,True,Yes,Critical,Restock 1473 g on the next stock run; current stock reaches zero by forecast day 1.
18,Condensed Milk,ml,1276,50,1305.7,20,0.3,1.0,True,Yes,Critical,Restock 1276 ml on the next stock run; current stock reaches zero by forecast day 1.
19,Hazelnut Syrup,ml,1229,22,1240.79,10,0.1,1.0,True,Yes,Critical,Restock 1229 ml on the next stock run; current stock reaches zero by forecast day 1.
20,Matcha Powder,g,919,120,1008.43,30,0.8,1.0,True,Yes,Critical,Restock 919 g on the next stock run; current stock reaches zero by forecast day 1.
21,Brown Sugar Syrup,ml,914,27,922.1600000000001,18,0.2,1.0,True,Yes,Critical,Restock 914 ml on the next stock run; current stock reaches zero by forecast day 1.
22,Marshmallows,g,892,21,900.19,12,0.2,1.0,True,Yes,Critical,Restock 892 g on the next stock run; current stock reaches zero by forecast day 1.
23,Biscoff Spread,g,850,80,914.65,15,0.6,1.0,True,Yes,Critical,Restock 850 g on the next stock run; current stock reaches zero by forecast day 1.
24,Egg,pcs,251,15,243.23000000000002,22,0.4,1.0,True,Yes,Critical,Restock 251 pcs on the next stock run; current stock reaches zero by forecast day 1.
25,Pizza Dough,pcs,80,18,77.08,20,1.6,2.0,True,Yes,Critical,Restock 80 pcs on the next stock run; current stock reaches zero by forecast day 2.
26,Fresh Milk,L,57,30,71.9,15,2.9,4.0,True,Yes,High,Restock 57 L on the next stock run; current stock reaches zero by forecast day 4.
27,Bottled Water,pcs,35,38,57.0,16,4.7,5.0,True,Yes,Medium,Restock 35 pcs on the next stock run; current stock reaches zero by forecast day 5.
28,Rice,kg,22,38,43.64,16,6.1,7.0,True,Yes,Medium,Restock 22 kg on the next stock run; current stock reaches zero by forecast day 7.
29,Tortilla,pcs,12,35,28.57,18,8.6,,True,Yes,Low,Restock 12 pcs on the next stock run to cover the forecast and safety stock.
30,Crepe Batter,kg,11,20,10.6,20,13.2,,True,Yes,Low,Restock 11 kg on the next stock run to cover the forecast and safety stock.
31,Tomato Sauce,L,6,28,15.39,18,12.7,,True,Yes,Low,Restock 6 L on the next stock run to cover the forecast and safety stock.
32,Ground Beef,kg,4,18,9.1,12,13.8,,True,Yes,Low,Restock 4 kg on the next stock run to cover the forecast and safety stock.
33,Butterfly Pea Tea,L,2,22,3.11,20,50.0,,True,Yes,Low,Restock 2 L on the next stock run to cover the forecast and safety stock.
34,Mango,kg,2,18,4.2,15,30.0,,True,Yes,Low,Restock 2 kg on the next stock run to cover the forecast and safety stock.
35,Beef Tapa,kg,0,25,0.8,18,227.3,,True,No,Healthy,Inventory is sufficient.
36,Chicken Breast,kg,0,60,7.19,15,58.3,,True,No,Healthy,Inventory is sufficient.
37,Chicken Wings,kg,0,75,31.29,18,16.8,,True,No,Healthy,Inventory is sufficient.
38,Coffee Beans,kg,0,28,5.04,18,38.9,,True,No,Healthy,Inventory is sufficient.
39,Cold Brew Concentrate,L,0,35,6.619999999999999,18,36.8,,True,No,Healthy,Inventory is sufficient.
40,Cream,L,0,41,2.31,18,124.2,,True,No,Healthy,Inventory is sufficient.
41,Lasagna Sheets,kg,0,40,2.15,12,129.0,,True,No,Healthy,Inventory is sufficient.
42,Longganisa,kg,0,35,7.08,15,34.7,,True,No,Healthy,Inventory is sufficient.
43,Nacho Chips,kg,0,45,5.12,18,61.6,,True,No,Healthy,Inventory is sufficient.
44,Pesto Sauce,L,0,55,1.75,22,220.0,,True,No,Healthy,Inventory is sufficient.
45,Pork Tocino,kg,0,25,6.58,18,26.6,,True,No,Healthy,Inventory is sufficient.
46,Potatoes,kg,0,80,8.969999999999999,15,62.5,,True,No,Healthy,Inventory is sufficient.
47,Shrimp,kg,0,22,1.41,20,110.0,,True,No,Healthy,Inventory is sufficient.
48,Spaghetti Pasta,kg,0,44,10.85,20,28.4,,True,No,Healthy,Inventory is sufficient.
49,Spanish Sardines,kg,0,60,1.4000000000000001,15,300.0,,True,No,Healthy,Inventory is sufficient.
50,Tuna Flakes,kg,0,50,2.39,20,147.1,,True,No,Healthy,Inventory is sufficient.
51,Waffle Batter,kg,0,41,4.49,18,64.1,,True,No,Healthy,Inventory is sufficient.
